USUARIO_ID,USUARIO
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
0,AAGUALIMPIA
